CMDLINE python3 WovtServer.py
MEM 45.609375 1514908764.4043
MEM 45.609375 1514908764.5131
MEM 45.609375 1514908764.6215
MEM 45.609375 1514908764.7336
MEM 45.609375 1514908764.8484
MEM 45.609375 1514908764.9691
MEM 45.609375 1514908765.0833
MEM 45.609375 1514908765.1911
MEM 45.609375 1514908765.3039
MEM 45.609375 1514908765.4161
MEM 45.609375 1514908765.5276
MEM 45.609375 1514908765.6412
MEM 45.609375 1514908765.7539
MEM 45.609375 1514908765.8640
MEM 45.609375 1514908765.9710
MEM 45.609375 1514908766.0868
MEM 45.609375 1514908766.2109
MEM 45.609375 1514908766.3464
MEM 45.609375 1514908766.4696
MEM 45.609375 1514908766.5893
MEM 45.609375 1514908766.7041
MEM 45.609375 1514908766.8156
MEM 45.609375 1514908766.9359
MEM 45.609375 1514908767.0606
MEM 45.609375 1514908767.1773
MEM 45.609375 1514908767.2916
MEM 45.609375 1514908767.4211
MEM 45.609375 1514908767.5355
MEM 45.609375 1514908767.6506
MEM 45.609375 1514908767.7644
MEM 45.609375 1514908767.8811
MEM 45.609375 1514908767.9938
MEM 45.609375 1514908768.1076
MEM 45.609375 1514908768.2262
MEM 45.609375 1514908768.3446
MEM 45.609375 1514908768.4530
MEM 45.609375 1514908768.5683
MEM 45.609375 1514908768.6822
MEM 45.609375 1514908768.7950
MEM 45.609375 1514908768.9137
MEM 45.609375 1514908769.0274
MEM 45.609375 1514908769.1392
MEM 45.609375 1514908769.2515
MEM 45.609375 1514908769.3613
MEM 45.609375 1514908769.5388
MEM 45.609375 1514908769.6764
MEM 45.609375 1514908769.8049
MEM 45.609375 1514908769.9488
MEM 45.609375 1514908770.0739
MEM 45.609375 1514908770.1852
MEM 45.609375 1514908770.2945
MEM 45.609375 1514908770.4073
MEM 45.609375 1514908770.5230
MEM 45.609375 1514908770.6343
MEM 45.609375 1514908770.7480
MEM 45.609375 1514908770.8618
MEM 45.609375 1514908770.9720
MEM 45.609375 1514908771.0864
MEM 45.609375 1514908771.1986
MEM 45.609375 1514908771.3098
MEM 45.609375 1514908771.4260
MEM 45.609375 1514908771.5462
MEM 45.609375 1514908771.6619
MEM 45.609375 1514908771.7747
MEM 45.609375 1514908771.8855
MEM 45.609375 1514908771.9953
MEM 45.609375 1514908772.1080
MEM 45.609375 1514908772.2173
MEM 45.609375 1514908772.3316
MEM 45.609375 1514908772.4453
MEM 45.609375 1514908772.5547
MEM 45.609375 1514908772.6675
MEM 45.609375 1514908772.7920
MEM 45.609375 1514908772.9023
MEM 45.609375 1514908773.0141
MEM 45.609375 1514908773.1249
MEM 45.609375 1514908773.2376
MEM 45.609375 1514908773.3455
MEM 45.609375 1514908773.4533
MEM 45.609375 1514908773.5679
MEM 45.609375 1514908773.6783
MEM 45.609375 1514908773.7920
MEM 45.609375 1514908773.9043
MEM 45.609375 1514908774.0165
MEM 45.609375 1514908774.1334
MEM 45.609375 1514908774.2535
MEM 45.609375 1514908774.3628
MEM 45.609375 1514908774.4730
MEM 45.609375 1514908774.5842
MEM 45.609375 1514908774.6956
MEM 45.609375 1514908774.8039
MEM 45.609375 1514908774.9163
MEM 45.609375 1514908775.0254
MEM 45.609375 1514908775.1349
MEM 45.761719 1514908775.2495
MEM 45.761719 1514908775.3831
MEM 45.761719 1514908775.5587
MEM 45.761719 1514908775.6892
MEM 45.761719 1514908775.8360
MEM 45.761719 1514908775.9582
MEM 45.761719 1514908776.0660
MEM 45.761719 1514908776.1788
MEM 45.761719 1514908776.2896
MEM 45.761719 1514908776.4068
MEM 45.761719 1514908776.5206
MEM 45.761719 1514908776.6313
MEM 45.761719 1514908776.7421
MEM 45.761719 1514908776.8528
MEM 45.761719 1514908776.9657
MEM 45.761719 1514908777.0744
MEM 45.761719 1514908777.1877
MEM 45.761719 1514908777.2985
MEM 45.761719 1514908777.4123
MEM 45.761719 1514908777.5235
